Microsoft大爆炸,2020-02-26 17:33,Windows 10 邮件和日历应用全新图标已开始推送#微软# #电脑# #Windows 10# ​
Blocklike超爱区块链,2020-02-26 10:46,一名前微软员工Kvashuk从前雇主那里盗走了价值1000万美元的数字货币，并用这笔资金来进行奢侈的购买行为，包括120万美元的湖边房屋和16万美元的特斯拉汽车，日前被判处18重罪。根据美国检察官办公室发布的消息，Kvashuk使用“比特币混币服务”来掩盖他转移到银行帐户中的资金来源，还使用了与其他员工 ​  c
英国军情六处,2020-02-24 09:30,比尔·盖茨 &amp; 史蒂夫·乔布斯 的对话#互联网# #苹果# #微软#
很省钱,2020-02-25 17:44,#微软# #Xbox# Series X将向前兼容老游戏。Xbox Series X主机使用了“新一代AMD定制处理器”，可以说是7nm Zen2 CPU核心及RDNA2架构GPU核心，GPU性能达到了12TFLOPS（12万亿次），是Xbox One性能的8倍，Xbox One X的2倍，另外GPU还支持VRS可变帧率技术。微软确认Xbox Series X将支持“四代”Xbox游戏 ​  c
机械BOY,2020-02-24 20:44,一直以来对便携办公本都有着很深的感情，之前联想的小新Air系列一直是手边常带的办公利器，在上手过Surface Laptop系列前，一直主观的认为这个系列的笔记本定位那么高会有很多人选择吗，真正上手以后被它各个方面的均衡性所折服，首先就是自家的系统针对自家的硬件的优化，最大化的开发了操作系统的各 ​  c
清洁工_RAmen,2020-02-23 12:24,夜里，我百分之百地确认自己把电脑休眠了，绝对没有操作失败。然后，@微软中国 系统居然还是不知道什么时候擅自让我的电脑开机并重启了一下，安装它的那个什么脑残更新！于是我上午打开电脑，就是已经重启过的样子了。微软的强迫更新癖是不是已经至于魔怔了？居然把我已经休眠的电脑强行开机，去更新 ​  c
PowerBI星球,2020-02-22 19:54,office三合一移动应用，非常好用，不用再单独安装Excel、Word和PPT应用了，拍照OCR识别功能也很强大，体验很棒。#微软# ​
一图搞机,2020-02-22 13:22,#宅家侃数码# Windows 10 全新图标一览图标是挺好看的，话说#微软# 打算什么时候把优化中文字体渲染提上日程 2 北京 ​
微软中国,2020-05-22 17:00,#Microsoft Teams# 如何通过团队协作加速项目进程？Microsoft Teams助你轻松实现项目资讯同步，让新加入的成员快速了解项目背景，瞬间加速项目进程！小伙伴们还不速来体验~@微软Office L 微软中国的微博视频 ​
陈里,2020-03-28 13:46,雍正的改革可以说对于康乾盛世起到了承上启下的巨大作用，这其中重要的原因就是军机处的设立，稳固政权的同时，提高了行政效率。而古有军机处，今有 #Microsoft Teams# 资源信息集中整合，既能加强管理，也能集思广益，跨设备跨时空，协同办公，零时差沟通，大幅提升办公效率，用最短的时间收获最大的成 ​  c
Super---Ming,2020-12-06 00:19,#OneNote# #microsoft#  微软 难产…个人浅显的经验分享很好用的电子笔记本弄好久发现知乎不支持长图……是绝望的气息 ​
Repubblicca,2020-02-29 10:57,在近日的更新中，#Microsoft Edge# 引入一些额外的功能，比如能够介入并阻止广告软件、加密货币挖矿等比较流行的潜在有害的恶意软件。互联网上的免费下载站点往往存在这类风险。 ​
萌萌工科研究生,2020-02-28 15:41,外刊精读【经济学人】（the economist） 2020 .2.22期每日精读  《big tech‘s $2trillion bull on 》科技寡头的两万亿赛跑 段落 英译汉 In 2018 A new word entered Silicon Valley‘s lexicon[ˈleksɪkɑːn](字典)：“the tech—lash”，or the risk of a consumer and regulatory revolt agai ​  c
星星蛋仔,2020-02-27 22:01,打卡第一科继续努力鸭#Microsoft Office# 2 中山 ​
TennisLeo,2020-02-23 11:32,#Microsoft Edge# 新建标签页在“启示”模式下，突然凭空就给我增加了网址导航栏，还不能隐藏，更别说删除了这才一个多月，你就飘了？？？？ @微软市场活动 @微软Windows @Microsoft信仰中心 ​
德克Decker,2020-02-21 16:00,微软edge浏览器终于更新了，把内核换了，好用了很多，现在手机和电脑上都用它！#Microsoft Edge浏览器# ​
暴富就是我的新年愿望,2020-02-21 11:46,#Microsoft Edge# 吹爆了 太特么好用了 尤其是对开发者太友好 怎能不爱 ​
刘德杰RockyLau,2020-02-20 14:46,生产力进一步提升#Microsoft Office# ​
啊哈哈冰淇淋小仙女,2020-02-20 09:58,#Microsoft Office# 真香 ​
猫九姑娘在胡同小巷呢,2020-02-20 09:05,"#Microsoft Office# wps可以让位了，AppStore终于上架了📘📗📒📕,但是目前搜不到 ​"
Lingpro,2020-02-20 01:00,有#Microsoft Office# 要啥wps和扫描王啊，可我还一直以为ISO不能用 微软 、好笨啊 ​
上将豪_iDarren,2020-02-19 18:02,看到#Windows 10X# 的模拟器和产品宣传图，觉得如果真的有搭载新系统并具备这样的折叠双屏ID设计的#surface# （Surface Neo和Surface Duo感觉还差点意思），那将是继#Microsoft Surface Studio# 之后，个人认为在工业设计领域狂甩苹果的第二款产品。 ​​​
xiangxiang_19,2020-02-19 16:41,刚更新了word，竟然有了听写功能，666试了下准确率不错～ #Microsoft Word听写功能# L xiangxiang_19的微博视频 ​
DataInfographic,2020-02-17 10:33,#Microsoft Power BI 365# DAY362：完成了相对复杂的参数化的工作，动态指标加动态次坐标 ​
SapphireShen,2020-02-15 22:48,#Microsoft# 的浪漫～ 2 太原 ​
瞿之棠,2020-02-13 22:27,#Windows10X# 揭开Windows10X的面纱我们可能见到了一些笔记本键盘上出现一块小屏幕，但这是双屏笔记本发展的开始，微软抓住了这个思路，Windows10X是配合双屏设备出现的一个产物，但它的双屏可并不是现版Win10多屏幕那样简单。举个例子，当你将磁吸键盘放到一块屏幕上后，除了会在另一块屏幕显示主体 ​  c
SecreT55GardEN,2020-02-08 18:16,#Microsoft Teams# 我只能说微软这款office产品太鸡肋了，每次都给我搞个自动登录，想改个设置window账户又登录不了，对于中国用户  协同办公软件已经有了强大又免费的腾讯了好吗 ​
PixelExperience,2020-02-05 10:06,#Windows 10# #Microsoft Edge# 不知道是不是微软工作重心都转移到了Chromium版Edge上，最近几个版本的旧版Edge都闪退，从正式版的1909到最新的预览版19551都是点开就闪退 ​
又双叒叕改名0-0,2020-02-04 13:48,#Microsoft Edge# #Chrome# Chrome打开pdf文件一直字体不对，所以尝试了下新版Edge，结果edge打不开自己的应用市场，Chrome可以·你品，你细品 ​
tttrty90,2020-02-02 14:16,office套件现在给我的感受就是：图标设计立体突出，进入界面突出一个（仍然）极致扁平。科技以换壳为本?#Microsoft Office# ​
唐史主任司马迁,2020-02-29 20:39,我没看见，我没看见，我没看见。
洪灝,2020-02-29 09:02,黄金：很多读者朋友问为什么黄金在这次暴跌中“失去了避险功能”？有观点称黄金被减持以获取流动性，以补上其它股票仓位因为这次暴跌产生的补头寸的需求。这种说法有一定道理。昨夜，美国市场的确有传言一位“神秘卖家”大单卖出，使黄金盘间一度暴跌约4%。然而，如果需要流动性，有其它流动性更好的 ​  c
宋振韶,2020-02-29 09:02,#一图胜千言# 微软搜素引擎必应推出的壁纸：飞蛙。2月29日这一天称为leap day，闰日，英文leap day的字面意思为跳跃之日。飞蛙的飞翔装备就是它的脚蹼。飞蛙巧妙地利用气流进行滑翔。自然真奇妙！ ​
5G看咪咕,2020-02-29 09:02,尽管微软已向云计算业务转型，但该公司并未摆脱实体世界的影响，#微软取消截至3月份财季业绩预期# ，理由是新冠肺炎疫情给全球供应链带来影响。#美国宣布禁止有伊朗旅行史外国人入境# L 5G看咪咕的微博视频 ​
科技爵士骑士,2020-02-29 09:02,被微软北京总部认同收藏的国产手机，同时也是第一台国产智能手机，外观设计非常超前，甚至iPhone 4就获取它的灵感，这部手机就是魅族M8。它的超前之处，一是在按键机时代，推出电容式触摸屏幕；二是手机正面只有一个按键；三是采用Windows CE6.0的智能系统，拥有自动对焦的摄像头，WIFI、播放器也都拥 ​  c
浪花精灵驭波者,2020-02-29 09:02,《张一鸣：10年前面试2000人，我发现混的好的人，全都有同一个特质》06、07年，很多师弟、师妹问我职业选择，我都建议他们去百度，不要去IBM、微软。O 网页链接 ​
林十兄,2020-02-29 09:02,外媒有消息说 Surface Duo 和 Surface Neo 可能会提前几个月上市，原定是年末发售，估计微软是打算先给开发者使用和发烧友尝鲜。这两款产品在硬件配置上比较落后，没有 5G 网络，性能规格是去年的标准，设计上也有不少可以改进的空间。如果要面向大众群体，微软真的得好好想想怎么调整，毕竟要价不低。 ​
数字尾巴,2020-02-29 21:07,去年就有媒体采访时问过配置落后的问题，微软的答复是产品推出时会更新配置，不过目前的报道都没有提到配置的更新。微软的 ARM 之路，任重而道远。
张晨Archen,2020-02-29 21:07,MSN其实是Microsoft Network的缩写，Win95的时代就提出了。当时是在北美做接入商加内容提供商，类似于AOL或者上海热线这样的平台。后来长期就这么放着了。一直到了某一年，好像是XP那一年，微软突然想起MSN这茬，大搞蝴蝶战略，刷新MSN子品牌，出了messenger和浏览器。浏览器花里胡哨性能一般，很快 ​  c
王员外,2020-02-29 21:07,关于鸿蒙 OS 和 HMS，其实你仔细回想一下。手机操作系统的事儿，微软做过，而且在当时系统体验上比 Android 还要出色。兼容 Android 应用的事儿，黑莓做过，品牌忠诚度也要强于华为。构建生态这件事儿，亚马逊也尝试过。但最后都失败了。打造鸿蒙 OS ，建立 HMS 生态，是华为不得不做的事情。但 ​  c
历史的进城,2020-02-29 21:07,运营知识产权数据库的日本Astamuse对于AI相关专利进行了分析。截至2019年10月，全世界申请的专利数量累计达7.2万件。中美两国分别占到3成多，随后是日本，占到1成多。　在“专利质量”（把各企业所拥有专利的排他性程度进行量化打分）排行榜上，美国企业在前10中占有8席。IBM位居榜首，微软紧随其后， ​  c
从不缺德数码,2020-02-29 21:07,金鱼表示：我太难了我第一台手机就是能拍照的，130万像素在当时还算不上特别普及；玩过别人的多普达，功能i强大，但因为当时2G网络的问题，算是有些生不逢时；iPhone的出现确实改变了智能手机的发展方向，微软和诺基亚方向错了！安卓成就了百家争鸣的大好局面，也让消费者的口味越来越刁钻。。。 ​  c
IT之家,2020-02-29 20:39,【《微软飞行模拟器》新截图放出：画面精美真假难辨】日前《微软飞行模拟器(Microsoft Flight Simulator)》官网更新了一组由玩家上传的新游戏截图，并公布了三月及四月反馈，说明了下阶段游戏的更新对象和发展方向……详情点击：O 《微软飞行模拟器》新截图放出：画面精美真假难辨 ​
动点科技,2020-02-29 20:39,【两种人 | 双屏手机的正确形态是？】#动点快讯# 虽然有折叠屏手机，但不妨碍一些厂商继续推出双屏手机，譬如 Yota Phone、Microsoft Duo 等等。 双屏手机的正确形态是？ ​
白起太爱我了怎么办,2020-02-29 20:39,WPS是个垃圾软件，完全可以用Microsoft office mobile代替，乱七八糟功能收钱还授权用户信息，授权完了才知道人家功能根本不支持垃圾软件 ​
张晨Archen,2020-02-29 20:39,MSN其实是Microsoft Network的缩写，Win95的时代就提出了。当时是在北美做接入商加内容提供商，类似于AOL或者上海热线这样的平台。后来长期就这么放着了。一直到了某一年，好像是XP那一年，微软突然想起MSN这茬，大搞蝴蝶战略，刷新MSN子品牌，出了messenger和浏览器。浏览器花里胡哨性能一般，很快 ​  c
Microsoft大爆炸,2020-02-29 20:39,微软 Windows 10 全新图标（流畅设计）现已开始全面推送，请前往 Microsoft Store 获取更新#微软# #电脑# #Windows 10# ​
安啾拉小鹿,2020-02-29 00:35,剪好的视频因为不小心把素材视频删了，然后说要改下细节，结果素材已丢失，庆幸的是保存了剪好的。收集在Microsoft  Word很久的爱豆语录，突然不见了。
导演董志军,2020-02-29 23:52,Microsoft is expanding its antivirus software to iOS and Android — and it's betting on AI in a bid to dominate the enterprise cybersecurity market O 网页链接 ​
唯颂科技XYZONE,2020-02-29 22:53,#微软重构Windows 10# 其中最显而易见的改变就是采用了 Fluent Design 设计，用户可通过 Microsoft Store 进行程序更新，即可看到最新的效果。 ​
斯麦尧,2020-02-29 21:27,居然在 Microsoft Store 找到了 Python（3.8.2）。 ​
菫燕,2020-02-29 20:12,鼠标手分享几个神器1. Medi护腕  试了各种护腕这个佩戴相对舒适2. Logitech MX Vertical鼠标  Mac党配合Jitouch软件+ Logi option一同食用很香  去公司多设备还可以Flow+easy switch3. Microsoft Sculpt Keyboard 鼠标手疼起来等不了K860  外网测评第一  键盘布局需要适应期  Mac Command键调整见图 ​
新曙光刘利新,2020-02-29 18:21,"比尔盖茨：新冠肺炎百年一遇 Microsoft founder Bill Gates called the coronavirus a ""once-in-a-century pandemic"" and urged leaders to both ""solve the immediate problem and keep it from happening again"" in an op-ed for the New England Journal of Medicine ​"
肉嘟嘟的养乐多,2020-02-29 18:17,我是个🐷吧今天下午手欠，不小心把电脑里的Microsoft删了还好还好我终于下回来了！！！ ​
李性浩,2020-02-29 17:43,‪川普声称，新冠病毒是民主党试图害他的一个“新骗局”。看来他认为这是个政治病毒。‬- 发送自 Microsoft Kaizala。立即加入 - O 网页链接 ​
